,originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalCredits,titleType,canHaveEpisodes,numRegions,countryOfOrigin,genres,ratingNum,numGenres,criticReviewsRatio,awardsAndNominations,hasVideos,moreCountriesOfOrigin
105,Christmas Is,"(4, 5]",1970,3.4339872044851463,4.912654885736052,1.3862943611198906,3.6888794541139363,tvMovie,False,0.6931471805599453,['US'],"['Animation', 'Family']",5,2,0.0,False,False,False
106,Hae-pi Too-ge-deo,"(7, 8]",1999,4.189654742026425,3.8501476017100584,3.044522437723423,2.3978952727983707,tvSeries,True,1.791759469228055,['KR'],"['Comedy', 'Drama', 'Romance']",8,3,0.0,False,False,False
107,Home Is Where the Hart Is,"(4, 5]",1987,4.553876891600541,5.062595033026967,1.0986122886681098,4.584967478670572,movie,False,2.1972245773362196,['CA'],['Comedy'],5,1,0.0,False,False,False
108,Manila,"(6, 7]",2006,1.9459101490553132,3.4965075614664802,0.6931471805599453,2.3978952727983707,short,False,0.6931471805599453,['IT'],['Short'],7,1,0.0,True,False,False
109,Episode #3.8,"(5, 6]",1997,3.713572066704308,2.0794415416798357,0.0,1.6094379124341003,tvEpisode,False,2.0794415416798357,['GB'],"['Comedy', 'Talk-Show']",6,2,0.0,False,False,False
110,"The Forbidden City, Pekin","(3, 4]",1901,2.5649493574615367,3.7376696182833684,0.6931471805599453,1.0986122886681098,short,False,1.0986122886681098,['US'],"['Documentary', 'Short']",4,2,0.0,False,False,False
111,The Punished,"(8, 9]",2012,4.553876891600541,2.6390573296152584,0.6931471805599453,4.174387269895637,movie,False,1.0986122886681098,['US'],['Thriller'],9,1,0.0,False,False,False
112,Post Telefonic Suspendat Temporar,"(6, 7]",2002,2.70805020110221,1.791759469228055,0.0,1.3862943611198906,short,False,1.6094379124341003,['RO'],['Short'],7,1,0.0,False,False,False
113,En fisker i Hanstholm,"(4, 5]",1977,4.143134726391533,2.5649493574615367,0.6931471805599453,2.3978952727983707,movie,False,1.0986122886681098,['DK'],['Drama'],5,1,0.0,False,False,False
114,The Incorrigible Dukane,"(6, 7]",1915,3.713572066704308,3.4011973816621555,1.0986122886681098,2.8903717578961645,short,False,0.6931471805599453,['US'],"['Comedy', 'Romance', 'Short']",7,3,0.3333333333333333,False,False,False
115,Facing Fearful Odds,"(7, 8]",1974,3.9512437185814275,4.48863636973214,1.0986122886681098,3.713572066704308,tvEpisode,False,0.6931471805599453,['GB'],['Drama'],8,1,0.3333333333333333,False,False,False
116,Dokunmayin Sabanima,"(7, 8]",1979,4.51085950651685,8.340933226000878,1.9459101490553132,3.9512437185814275,movie,False,0.6931471805599453,['TR'],"['Comedy', 'Romance']",8,2,0.0,False,False,False
117,When Flanders Failed,"(8, 9]",1991,3.4339872044851463,8.328209491748732,1.791759469228055,5.099866427824199,tvEpisode,False,0.6931471805599453,['US'],"['Animation', 'Comedy']",9,2,0.0,False,False,False
118,Unsere deutschen Kleinstädter,"(8, 9]",1964,4.51085950651685,2.5649493574615367,0.0,2.9444389791664403,tvMovie,False,0.6931471805599453,['XWG'],['Comedy'],9,1,0.0,False,False,False
119,Der Fangschuß,"(6, 7]",1976,4.51085950651685,7.275172319452771,2.3978952727983707,3.7612001156935624,movie,False,3.044522437723423,"['FR', 'XWG']","['Drama', 'War']",7,2,0.43478260869565216,True,False,True
120,Maldoror,"(6, 7]",1977,4.61512051684126,3.044522437723423,1.0986122886681098,3.1354942159291497,movie,False,0.6931471805599453,['IT'],"['Drama', 'Romance']",7,2,0.0,False,False,False
121,Ikke Uten Min Søster,"(5, 6]",2021,3.713572066704308,2.833213344056216,0.0,4.532599493153256,tvEpisode,False,0.6931471805599453,['NO'],"['Comedy', 'Drama']",6,2,0.0,False,False,False
122,Predator: Dark Ages,"(6, 7]",2015,3.332204510175204,7.959625305098115,2.833213344056216,5.5134287461649825,short,False,1.791759469228055,['GB'],"['Action', 'Horror', 'Sci-Fi']",7,3,0.11904761904761904,False,False,False
123,Haven: Origins,"(6, 7]",2014,3.4657359027997265,2.995732273553991,1.791759469228055,4.406719247264253,tvSeries,True,1.3862943611198906,['US'],['Drama'],7,1,0.0,False,False,False
124,Mimara,"(7, 8]",1991,3.4339872044851463,2.772588722239781,0.0,2.1972245773362196,short,False,0.6931471805599453,['HR'],['Short'],8,1,0.0,False,False,False
125,El Banat Ayza Eih,"(5, 6]",1980,4.51085950651685,4.564348191467836,1.3862943611198906,2.995732273553991,movie,False,0.6931471805599453,['EG'],"['Comedy', 'Romance']",6,2,0.0,False,False,False
126,Sundaranga Jaana,"(7, 8]",2016,4.51085950651685,4.04305126783455,3.5553480614894135,2.9444389791664403,movie,False,0.6931471805599453,['IN'],['Comedy'],8,1,0.0,False,True,False
127,Angels Around Me,"(2, 3]",2013,4.543294782270004,4.6913478822291435,2.1972245773362196,4.382026634673881,movie,False,1.3862943611198906,['US'],['Action'],3,1,0.0,True,True,False
